[Company,Logo],,,
[Company,Name],,,
[Street,Address],,,
"(City,","ST,",ZIP],,
Phone:,[000-000-0000],,,
Fax:,[000-000-0000],,,
[Company,Name],,,
[Website],,,,
[Street,Address],,,
"[City,","ST,",ZIP],,
Phone:,[000-000-0000],,,
Shipping,Terms,,,
FOB,Destination,,,
Production,Schedule,,,
Material,procurement:,day,1-5,
Assembly:,day,6-9,,
Quality,control:,day,10-12,
Packaging:,day,13-14,,
Shipping:,day,15-20,,
Item,Item,QTY,,
Chair,2,,,
Comments,,,,
Shipping,Method,,,
Truck,,,,
Quality,Control,,,
Visual,inspection,,,
Functional,testing,,,
Manufacturing,,,,
Purchase,Order,,,
Date,1/11/2023,,,
P.O.,#,[12356],,
[Attn:,Name],,,
[Company,Name),,,
[Street,Address],,,
"{City,","ST,",ZIP],,
Phone:,[000-000-0000],,,
Delivery,Date,,,
01/15/2024,,,,
Packaging,Requirements,,,
Individual,wrapping,,,
Partitioned,boxes,,,
Dimensional,accuracy,Fragile,stickers,
Material,composition,Additional,cushioning,
Packaging,integrity,,,
Certifications,,,,
Material,,,,
Wooden,legs,,,
Wooden,seat,,,
Wooden,armrests,,,
Screws,,,,
Wood,glue,,,
Authorized,by,,,
Double-boxing,,,,
Clear,handling,instructions,,
BOM,,,,
SKU,QTy,Unit,Price,Total
WDLGOO,4,$10.00,$40.00,
WDsT002,2,$30.00,$60.00,
WDAROO3,4,$15.00,$60.00,
SCRWOOB,12,$0.25,$3.00,
WGLUO15,2,$4.00,"$8.00,",
$0.00,,,,
SUBTOTAL,$171.00,,,
TAX,RATE,5.00%,,
TAX,TOTAL,$8.55,,
SHIPPING,$500.00,,,
OTHER,$0.00,,,
TOTAL,$679.55,,,
Date,,,,
